1,1,570.00,111.00,15.00,22.50, 1.00,-1.00,-1.00,-1.00
1,2,606.00,111.00,28.50,27.00, 1.00,-1.00,-1.00,-1.00
1,3,564.00,190.50,55.50,42.00, 1.00,-1.00,-1.00,-1.00
1,4,603.00,406.50,106.50,99.00, 1.00,-1.00,-1.00,-1.00
2,1,571.50,108.00,15.00,24.00, 1.00,-1.00,-1.00,-1.00
2,2,606.00,111.00,28.50,25.50, 1.00,-1.00,-1.00,-1.00
2,3,565.50,187.50,54.00,42.00, 1.00,-1.00,-1.00,-1.00
2,4,606.00,394.50,103.50,94.50, 1.00,-1.00,-1.00,-1.00
3,1,573.00,108.00,15.00,22.50, 1.00,-1.00,-1.00,-1.00
3,2,606.00,109.50,30.00,25.50, 1.00,-1.00,-1.00,-1.00
3,3,567.00,184.50,54.00,40.50, 1.00,-1.00,-1.00,-1.00
3,4,609.00,381.00,102.00,93.00, 1.00,-1.00,-1.00,-1.00
4,1,574.50,105.00,15.00,24.00, 1.00,-1.00,-1.00,-1.00
4,2,607.50,108.00,28.50,25.50, 1.00,-1.00,-1.00,-1.00
4,3,570.00,181.50,52.50,40.50, 1.00,-1.00,-1.00,-1.00
4,4,612.00,369.00,99.00,90.00, 1.00,-1.00,-1.00,-1.00
5,1,576.00,105.00,15.00,21.00, 1.00,-1.00,-1.00,-1.00
5,2,607.50,106.50,28.50,25.50, 1.00,-1.00,-1.00,-1.00
5,3,571.50,178.50,52.50,40.50, 1.00,-1.00,-1.00,-1.00
5,4,615.00,357.00,96.00,87.00, 1.00,-1.00,-1.00,-1.00
6,1,576.00,102.00,15.00,22.50, 1.00,-1.00,-1.00,-1.00
6,2,609.00,105.00,28.50,27.00, 1.00,-1.00,-1.00,-1.00
6,3,573.00,175.50,51.00,39.00, 1.00,-1.00,-1.00,-1.00
6,4,616.50,346.50,94.50,85.50, 1.00,-1.00,-1.00,-1.00
7,1,579.00,102.00,15.00,21.00, 1.00,-1.00,-1.00,-1.00
7,2,609.00,105.00,28.50,25.50, 1.00,-1.00,-1.00,-1.00
7,3,574.50,172.50,51.00,39.00, 1.00,-1.00,-1.00,-1.00
7,4,619.50,337.50,91.50,84.00, 1.00,-1.00,-1.00,-1.00
8,1,579.00,99.00,15.00,22.50, 1.00,-1.00,-1.00,-1.00
8,2,609.00,103.50,30.00,25.50, 1.00,-1.00,-1.00,-1.00
8,3,576.00,169.50,51.00,37.50, 1.00,-1.00,-1.00,-1.00
8,4,621.00,328.50,90.00,81.00, 1.00,-1.00,-1.00,-1.00
8,5,15.00,475.50,231.00,154.50, 1.00,-1.00,-1.00,-1.00
