6, -1, 414.00, 99.00, 27.00, 18.00, 0.52, -1, -1, -1
7, -1, 414.00, 97.00, 28.00, 19.00, 0.53, -1, -1, -1
8, -1, 414.00, 97.00, 28.00, 19.00, 0.54, -1, -1, -1
9, -1, 415.00, 96.00, 26.00, 19.00, 0.52, -1, -1, -1
10, -1, 415.00, 96.00, 27.00, 18.00, 0.52, -1, -1, -1
11, -1, 415.00, 96.00, 27.00, 17.00, 0.54, -1, -1, -1
12, -1, 417.00, 95.00, 26.00, 18.00, 0.50, -1, -1, -1
13, -1, 415.00, 95.00, 28.00, 18.00, 0.60, -1, -1, -1
14, -1, 416.00, 95.00, 27.00, 17.00, 0.56, -1, -1, -1
15, -1, 418.00, 95.00, 25.00, 17.00, 0.51, -1, -1, -1
16, -1, 416.00, 95.00, 27.00, 16.00, 0.51, -1, -1, -1
56, -1, 253.00, 375.00, 106.00, 97.00, 0.60, -1, -1, -1
57, -1, 255.00, 364.00, 114.00, 95.00, 0.52, -1, -1, -1
58, -1, 263.00, 358.00, 109.00, 88.00, 0.65, -1, -1, -1
59, -1, 271.00, 344.00, 107.00, 91.00, 0.71, -1, -1, -1
60, -1, 284.00, 327.00, 93.00, 108.00, 0.78, -1, -1, -1
62, -1, 291.00, 310.00, 90.00, 100.00, 0.52, -1, -1, -1
63, -1, 298.00, 310.00, 82.00, 92.00, 0.63, -1, -1, -1
65, -1, 307.00, 290.00, 78.00, 92.00, 0.72, -1, -1, -1
68, -1, 317.00, 276.00, 77.00, 78.00, 0.74, -1, -1, -1
69, -1, 319.00, 273.00, 76.00, 74.00, 0.72, -1, -1, -1
70, -1, 322.00, 274.00, 75.00, 65.00, 0.57, -1, -1, -1
71, -1, 323.00, 262.00, 77.00, 66.00, 0.53, -1, -1, -1
73, -1, 330.00, 252.00, 76.00, 68.00, 0.73, -1, -1, -1
74, -1, 333.00, 251.00, 77.00, 60.00, 0.68, -1, -1, -1
76, -1, 429.00, 321.00, 78.00, 108.00, 0.51, -1, -1, -1
77, -1, 343.00, 233.00, 68.00, 62.00, 0.51, -1, -1, -1
